,Commment,Category
1,"no me jodan 😂 . Nano SUV ? Eso no tiene nada de SUV ,",0
2,"Esas malditas estrategias de marketing para vender más y lo más triste es que el grueso de la gente se cree que autitos tales como el JAC E sei 1 o el Suzuki Ignis sean SUV . Por dios que mal momento para el entusiasta automotor . Solo 2 bolsas de aire , sin control de estabilidad , sin llanta de refaccion y $ 500,000 pesos puff",0
4,". Trabajo en una arrendadora y tengo tantos problemas con los clientes que arrendan un JAC por fallas y pésimo servicio de garantía que la verdad ya preferí no trabajar con esa marca ,",0
7,Buena relacion valor ( equipamiento ) vs precio ..... pero en manejo queda a deber ...,0
8,.... No joda con freno de mano electrónico ! !,0
9,! ! . Ya se,0
10,😒 Kia parece chino en andar copiandole todo a los europeos .,0
11,"no se , para mi seguirá siendo un Forte `` camionetita '' ; ) . Me encantan los Hatchback , he tenido varios , desde el Focus st , golf GTI , Audi A3 , León , el viejo León Cupra , un caliber srt4 , ese lo tengo aún , un Volvo V40 CC T5 , que me salvó la vida , , y mi Infiniti QX30 , y",0
12,"a diferencia de lo que dice Gabo , en lo personal no pagaría casi 450mil por este auto . Mi opinión , saludos . Creo que su aspecto sera su peor enemigo ,",0
13,buen video . Pues mucho mejor que,0
14,"Yo en lo personal no perdono que el mazda no traiga pantalla touch ! que pedo ! y por eso acabo de apartar el Forte GT en este en ese color ocaso con tonos naranja oscuro que se ve tan sexy . 😍🥰 Aunque tiene apeido gt , se que es el del entrada pero realmente lo comparo con el mazda 3 , creo que es mejor ponerlo contra un civic o un mazda 3 que contra un gti o un cupra que ya le quedan muy lejos en precio y caballos y torque .... osea el forte cuesta 427 y el mazda 410 y hasta se parecen mucho en diseño exterior , la neta una comparación entre mazda y este seria super cool y se que este gana y por eso lo compre . Se maneja muy bien , excelente calidad tenia un 2018 lo tuve que vender .",0
15,Seguro : CARISIMO ! . lo recomiendo solo para solteros o personas sin hijos . Presenta problemas de ruido dentro de cabina a bajas velocidades,0
16,"A criterio propio , no se merece la estrella , no piensa en los ocupantes de atrás , hasta un bora 2007 tiene salidas de AC para ocupantes traseros , y es un auto de hace mas de 13 años ,",0
18,Sus llantas son un dolor de cabeza en un año ya reventé 3 llantas por los baches ! ! !,0
19,"las plazas traseras son las peores de la categoria ,",0
21,"Prefiero que dure viéndose bien , a que le metan muchas cositas apantalladoras que no te van a durar ni el año . Esta nueva línea no me gusta , era mejor la anterior que era muy buena ,",0
22,". Saludos , buen video .",0
23,". Compre este auto en versión isport y me encanta , corre de maravilla , es cómodo , la parte de atrás si esta muy desatendida y poco espacio pero como ahí solo viaja mi hija de 5 años , es espacio más que suficiente y de sobra para ella .",0
24,"( velocidad máxima en que lo he podido correr por el tipo de carretera pero lo hace con la mano en la cintura ) en ciudad baja abruptamente hasta 8 km por litro aún pisándole suave , tómenlo en cuenta si buscan algo rendidor para andar en ciudad principalmente . Respecto de pasar los topes de lado tengo muchas reservas . Esto porque",0
25,jaja . ¿Porque se esfuerzan tanto en que mazda `` encaje '' en el segmento premium ?,0
26,imaginen que tan lejos está mazda ...,0
27,como dice el admin mazda es una armadora que da mucha lana a los medios y en este creo que no es la excepción mazda no es ni sera premium .,0
28,. Mazda es una gran marca que hace grandísimos coches y que cada vez lo hace mejor y creo que ya es una marca con productos premium .,0
29,Gracias por el vídeo . AQUIME QUEDE Creo que exageraste gabo no creo que sea la estrella de si segmento le encontré muchos defectos,0
31,".... y luego una guantera que alcerrarla le suena todo y se le mueve todo .... mmmm no se rick , parece falso que sea lo mejor de lo mejor , quizás el primer año .... 400.000 para que sea desgastado luego luego .... no se . Por un momento me emocioné pensando que era el nuevo Mazda turbo : ( Probé esta versión de Mazda y no",0
32,Sus interiores muy bonitos pero MUY delicados . Pd . ¿Contra qué estoy comparando su manejo ? ... Audi A3 de 190hp . Yo tengo mi Mazda 3 2019 versión i y estoy encantado con,0
33,los mazda por lo menos aqui,0
34,! ! sale muy malo y muy delicado y mas con las calles que existen aqui ! .,0
35,"Que tal amigOs , Tengo justo un mes que adquirí este Mazda 3 2020 Grand Touring y digo este , por que el mío también es color gris titanio . Sin duda es un gran auto , con gran manejo , excelentes terminados , diseño exterior como interior , muy minimalista , en fin si",0
36,", pero desde que vas a adquirirlo sabes que Mazda no se distingue por ello , pero en si puedo decir que tiene el mejor sonido Bose , super potente y refinado , vale la pena , excelente respuesta del motor y gran sensación sobre el asfalto . El tema del piano black lo resolví con un sticker en la consola central que a mi gusto quedó super bien , ya esta protegido y con confianza puedo poner ahi mi celular y demás cosas , sin duda muy contento con este gran auto . Y como comentario final lo compré a 36 MSI + Bono de $ 20k + seguro primer año + 0 % CPA . En fin una gran compra y estoy encantado con mi auto , saludos a todos y en lo que les pueda ayudar como usuario .",0
37,"? Mmm , que chafa . 05:22",0
38,👎🏽 Prefiero el nuevo Sentra .,0
39,Pero los deslumbran con sus forritos suaves .,0
40,"👍 Gabo , perate ... perate .... Todos queremos auto electrico , pero solo un 1 % de la gente puede , todavia faltan decadas para que la gente compre electricos cono compra marchs , beats etc .....",0
41,".... A la verga todos ustedes , con sus coches y consoladores eléctricos ! ! ! !",0
42,"en realidad solo son 300 sitios donde cargar , con 3 estaciones cada uno . 4 . 5 minutos para llenar tu tanque de gasolina al 100 % , y además puedes cargar bidones en caso de emergencia . Para cargar un eléctrico , una hora en promedio , en estaciones de carga , y a ver como puta madre podrías llevar baterías de emergencia . No se puede . 5 . Cuando se puteen la baterías del eléctrico , a cagar sangre , porque su sustitución costará el 20 % del valor del auto nuevo . Un pinche ajuste de motor te sale en 20 mil . Me parecen más viables las motos eléctricas ,",0
43,"Muy buen video Gabo , y algo que mencionaste muy importante :",0
45,"cosas mucho mejores . Yo lo consideré para renovar mi coche ,",0
46,Le subieron un chingo el precio y sigue siendo lo mismo jaja .,0
47,"Tan bien pen ..... los de Nissan , más de 300 mil pesos por esa corcholata sin ESP 😡 ,",0
48,"Yo tengo un 2013 y pues no cambia mucho , si llegarán adquirir alguno mejor de uso .",0
50,"NOOO , NI LOCO ME COMPRO UN MARCH POR MAS 300 K ,",0
51,🙃 .,0
52,"Hubiesen utilizado la versión 3 puertas del Wrangler para que la comparación sea simétrica . Definitivamente mala comparativa . De acuerdo ,",0
53,... Jeje .. me arrepentí de haberlo comprado .. 😂😂 .,0
55,🤷🏻‍♂️ .,0
56,Soy fan de volkswagen pero esto yo no lo compró .,0
57,"Se va a extrañar la época dorada cuando los carros y camionetas portaban ese maravilloso 2.0 turbo con 200 caballos y no daba lata para nada . Hecho en Brasil malo ,",0
60,"Repito , si este auto costara 30 mil pesos menos ... Fuera un mejor rival . Muy caro , VW la sigue cagando . wtf ! ! ! comercial disfrazado de review ni como ayudar esta basura .",0
62,", mal por vw México que siempre los hacen tan austeros a comparación de otros países .",0
63,"Como siempre VW tratando de vendernos espejitos . Sin cámara de reversa . Sin llave de presencia Sin botón de encendido . El arcaico 1.6L really ? Mi carro de 2004 tiene ese 1.6 🙄 en efecto bueno llevo 210k km , bien cuidado aún da sus 12k x litro estándar . Tambor ? ? ? No mames máster NO MAME !",0
65,Lo compraría sin duda si fuera motor TSI ó Tdi pero,0
66,En lo personal amo la marca VW y esperaba mucho el vehículo pero la vdd es una,0
67,triste la reseña .,0
68,Recuerdo cuando el master se quejaba del Cavalier porque le faltaba potencia y estaba caro y tenía acabados con plásticos corrientes y,0
69,Precisamente '' caro '' es algo que no vale lo que cuesta ...,0
70,Saludos estimado .,0
71,320 .,0
72,. Aunque creo que estaba mas enfocado al evitar robo que a evitar dejar a un bastardo ahí adentro . De cualquier manera servia para las dos cosas .,0
73,⚰️ directo a la basura ? .,0
74,bandita apoco no ! .,0
76,? ? solo los incautos e ignorante se iran a comprar este `` espejito '' ? ? ? Pésimo por Nissan ? .,0
78,o un Kia Cerato sedan o Hyundai Elantra ( todos básicos ) .,0
79,yo soy millenial y manejo standard .,0
80,. ya la están cagando en mazda ...,0
83,"Pero los Mazdetos felices con cualquier cosa . Los MAZDA me dan hueva . Es un recalentado de recalentado de recalentado , , , que haga algo bien hecho original y ya . No que es una copia de varias marcas premium . Pues ahí es cuando tanto tirarle al Sentra por su suspensión trasera rígida contra la del tsuru que era independiente rinde frutos ... es una porquería que en 2019 costando lo que cuesta traiga el motor viejo y la suspensión trasera chafa . 5:09 , los detalles de atras estan bien cuidados como atras , no ps vale : D Master sinceramente no es el mismo auto de antes con un poco de ajustes ? La línea de la carrocería pudo variar un poco , pero perdió la suspensión trasera independiente que antes sí tenía , es el mismo motor , misma caja , mismo equipo ( casi ) . Mazda siempre dice que SkyActive es una plataforma completa no sólo el motor , así que basicamente estamos hablando del mismo mazda 3 de antes , de la nueva generación sin el motor por el asunto de la calidad de gasolina .",0
84,verdad gabo . Je je je . Fijate que la Ram esta muy genial pero esa suspensión de aire no va a aguantar la friega ...,0
87,siento que va ser de esos que dan el viejazo muy pronto .,0
91,". El que tenga un jeep y no sea para llevarlo fuera de carretera es desperdiciarlo tal cual quien tiene un Mustang pero no le gusta la velocidad . Saludos ! . Que versión más rara ,",0
92,". Hay que estar muy pendejo para comprar esa madre ,",0
93,? ? .,0
94,. Prefiero el sedán .,0
96,"desechable , igual que todo lo desechable que hay en Nissan .",0
97,"De todo nissan solo valen la Pena ... np 300 , Frontier , 370z y nissan gtr .",0
98,. Rubén a veces eres muy vaguetto ...,0
99,? ? ? ? ? ? . con mas de 500000 es un robo,0
100,"eso está chafa y sin salidas de aire atrás ? peor que chafa , hay algunos seat y audi que si lo traen y no cuestan lo mismo que el sobre valuado Jetta .",0
101,"Por este carro su precio de 527,000.00 pagas lo Mismo por un Altima equipado sin turbo , un accord Sport 1.5 , y otros similares ,",0
102,"Esa basura austera cuesta 309,000 pesos mexicanos ,",0
103,Demasiado caro .,0
105,".. La misma porquería gastalona de siempre , pero ahora más caro ... ah",0
106,"Todo mundo ve lo bueno , yo sin verlo en físico ni manejarlo tengo varios puntos malos 1",0
107,"La suspensión trasera la cagaron ,",0
108,Pero los Mazdetos felices con cualquier cosa .,0
109,", no es atractivo a la vista como la generación anterior . Ya sabemos como será de mediocre y feo el auto con solo ver el emblema de la marca jajajaajjajaja .",0
112,LA CHEYENNE ES LA MÁS RESISTENTE ... NOMAS LE FALTA LA . OPCIÓN DEL 2.7 TURBO AQUI EN MEXICO Y VA A VOLAR DE LAS AGENCIAS . No creo que este carro se venda bien en Estados Unidos por el nombre .,0
113,"Mejor le pongo 10,000 pesos más y me compro la CR-V EX , y",0
116,"Que pésimo auto ,",0
118,"Ufff demasiado cara para lo que es ,",0
119,"Quiero aclarar el punto de las encuestas contra las ventas reales . A mí me pasó lo mismo estaba enamorado del hatchback por las fotos y vídeos , incluso en la agencia me gustó un poco más que el sedán , sin embargo opte por comprar el sedán debido a algo que tú no mencionas en el video y no entiendo por qué si es muy perceptible .",0
120,Muy curioso que no lo mencionadas en el video ya que fue lo primero que note de ambos autos . Prefiero el sedán .,0
121,"Se ve muy bien ,",0
122,y para cuándo en México ? estoy pensando adquirir coche y si este desde la versión básica cuenta con esa seguridad sería una muy buena opción siempre y cuando no suba mucho el precio .,0
123,con mas de 500000 es un robo,0
124,Mejor me quedo con mi suzuki swift Sport .,0
125,"Por qué BMW , Mercedes y el resto de premium no usas eje rígido si es sinónimo de refinamiento ?",0
126,". Yo creo que de ser así , la debería de considerar Bmw en su división M o Mercedes en Amg ? ? ? ? . Sí está bonito pero como que ya están tratando de venderte gato por liebre .",0
127,Mi humilde opinión .,0
128,"Creo que si buscas un manejo deportivo , es mejor opcion un Kia Forte GT . Tengo el 3 versión anterior 2014 2.5 188 hp , como nuevo solo 30 ml km , la verdad no caere en consumismo , no hay mucho cambio , de perfil la gente no nota la diferencia y de frente solo los que tenemos mazda o los cars lovers lo notan .",0
129,", para mi no vale la pena cambiarlo por este `` nuevo modelo '' . Además de que ya son tan comunes como los jettas y eres uno más con mazda 3 . Prácticamente es lo mismo pero más caro ?",0
130,Ah pero los mazdetos creen que traen un premium jajajaja .,0
131,? ? ? ? .,0
132,. Se me hacia mas bonito el interior de la generación anterior .,0
133,", no es atractivo a la vista como la generación anterior . No creo que este carro se venda bien en Estados Unidos por el nombre .",0
134,⚰️ directo a la basura ? .,0
135,". Jajajaja ,",0
136,"? ? solo los incautos e ignorante se iran a comprar este `` espejito '' ? ? ? Pésimo por Nissan ? . El patito feo se convirtió en Cisne ,",0
137,", mi primer auto nuevo fue un Tiida y en el lejano 2008 ya tenía 6 marchas , como ahora después de 11 años la misma Nissan saca un modelo nuevo con 5 ... ! De la caja automática con 4 mejor ni hablar , quizás tienen una bodega llena de esas porquerías y no saben donde cargarlas , mejor las funden y hacen más CVT . Se ve muy bien ,",0
138,"y para cuándo en México ? estoy pensando adquirir coche y si este desde la versión básica cuenta con esa seguridad sería una muy buena opción siempre y cuando no suba mucho el precio . Lo más gracioso de VW es una fórmula gastada ,",0
139,"Es un gran auto , pero comparto con usted",0
140,Esta Feo .,0
142,ya la están cagando en mazda ...,0
143,"Tengo el 3 versión anterior 2014 2.5 188 hp , como nuevo solo 30 ml km , la verdad",0
144,pero sigue estando más caro . Mejor un Accord SPORT . Ni el burro con llantas del mazda 6 . Tiene más arranque el spark que ese mazda 6 . Ah pero los mazdetos creen que traen un premium jajajaja,0
146,. Corrección : 1 ),0
147,.. el precio una de sus áreas más débiles ....,0
148,"de tener un auto que se distinguía de los demás , pasó a ser uno más del montón .",0
149,", ya veremos con que sorprenden en la siguiente generación . Espero tenga ventas bajas para que vean la porquería que ofrecieron ,",0
150,. Espero que no se animen a pagar 100 mil más sólo porque es a pagos chiquitos . Quedó culerisimo !,0
151,Excelente video . Saludos .,0
153,"en fin , el Civic MAS CARO , anticuado y menos equipado ( excepto en seguridad ) 😒😒 . Carísimo ,",0
154,😂 .,0
155,0 ? .,0
156,"comportamiento es predecible , pero vaya ¡ya tiene porta brazos derecho ! No me gustó el juego óptico trasero . Hay que aclarar que el motor equipado es pariente de Mercedes Benz y por eso subió el precio . La seguridad : es obvio que Renault nos quiere ver muertos . No fala el mamador que va salir con su `` pagar 370 k por un producto como este , para mí no lo vale '' y ande en un TIIDA .",0
157,😑 .,0
159,Todo mal,0
160,pero en general es muy buen producto .,0
161,Nosé ... Para mi es algo tan importante y cómodo jaja .,0
162,"Eso de la potencia , en Autodinamico , no lo entiendo , Gabo , creo que tienes el mejor canal al respecto , si , lo siento , pero creo que este es el mejor canal , al menos de Latinoamérica , pero si , no entiendo eso de la potencia , cómo que ahí no eres crítico . La potencia regularmente estuvo reservada para los coches mas costosos , o sea la gente de a pie no teníamos acceso a coches de potencias reales pero todavía quedaban coches con potencias medias decentes , eso se perdió y ahora muchos , pero muchos coches nuevos cuya potencia , si se mueven con más soltura de la que se moverían si un ser humano empujándolo , es precisamente llamada `` potencia '' . Muy triste escuchar de una canal como este y de una persona como el , que sabe mucho de carros , que esa Duster tenga bondades .... cuando saco 0 estrellas en Latin NCAP , tecnología de hace 20 años ,",0
163,"A mi lo que no me ha gustado es el consumo de combustible en ciudad ,",0
164,No imagino la incomodidad para maniobrar cuando traes prisa por solucionar un pinchazo .,0
165,. La verdad sí le hace falta más seguridad en comparación con la competencia actual .,0
166,el resto muy bien .,0
168,/hr ..,0
169,Buen video . Pero,0
170,? ? ? Pfff .,0
171,dan pena ajena,0
172,"🤔 No salió la ⭐ en el vídeo 😂 . Vw cagó al Golf ,",0
174,"Va , por fin una reseña , ya me había hartado de los especiales de indochina y de los Q & A . Edit :",0
175,A mi no me alcanzó para el Signature : ( pero definitivamente por el mismo precio que ese Jetta me fui por un Grand Touring Plus que si te hace ver el medio millón en calidad .,0
176,como usuario de jetta ( vento en mi país ) esperaba que le nuevo modelo se acerque más al passat que al virtus . Abrazo .,0
178,"decepciona en muchos sentidos ya no enamora a la vista o al querer tener ese auto . ¡mmmttaa , que decepción ! ,",0
181,? ? .,0
182,. Lo vendiero . 💔 PORKERIA de carro por el precio al estilo estafador de Volkswagen ...,0
184,🤔 . cachivache .. así le decimos en argentina ..,0
185,😞 .,0
186,"al principio tenia mis dudas pues es Fiat pero me sorprendió y la siento mucho mejor que la tornado que también tuvimos . Esa porquería de motor en cualquier momento va a desarmarse ,",0
187,"Fiat , no será sorpresa que empiecen a descomponerse rápido 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️ . .",0
189,suv .,0
190,"No es un carro económico , el precio es caro para lo que ofrece ,",0
191,EN COLOMBIA Y SUDAMERICA SE VENDE EN DIESEL Y TIENE UN TORQUE DE TRACTOR Y UN CONSUMO CONTENIDO . ES LO NEGATIVO QUE VEO EN JEEP MX . Muchos dicen que es malo por qué sacó solamente una estrella en seguridad .,0
192,". Otro auto muerto , honda se arrancó el pito con ese precio ,",0
193,"para ser nuevo prefiero el CIVIC Viejo . Muy caro para lo que es , me quedo con mi Forte GT . El Honda Civic está monstrusamente sobrevalorado , en cuanto a diseño es el mas aburrido desde el Civic 9° y los cambios son en su mayoría estéticos , así que no me parece nada interesante ,",0
194,. No mames la version base esta al mismo precio que el sentra mas caro el exclusive cvt bitono,0
195,", además de un diseño que , sin verse mal , parece un paso atrás frente a la generación saliente . Muy muy caro , así no se va a vender y esperamos que Honda rectifique .",0
196,. Muy chido y todo pero osea caja cvt 🙄🙄🤮🤮,0
197,... Pero se ve interesante .,0
199,", igual no me alcanza ni para un Jetta , Sentra o Forte ! ! jsjsjsjs .",0
203,Pareciera que lo puedes desprender sin problemas Este coche nació muerto como el Virtus .,0
204,"un Chevrolet chino de $ 460,000",0
205,"No me gusta ser pesimista , pero llega a un segmento muy peleado y sin suficientes armas para la guerra .",0
206,... no veo como justificar su compra sobre cualquiera de sus rivales .,0
207,Solo queda esperar a que le bajen el precio ( Para vender unos cuantos ) como hicieron con el anterior Cavalier cuando vean que no se vende . La estrategia de Chevrolet es tan confusa como sus ideas a la hora de titular el vídeo como “ ahora si por Jetta ” …,0
208,"extenso , sinceramente está lejos no solo del jetta , de casi todos de ese segmento . Súmenle que Chevrolet es experta en desaparecer coches de la noche a la mañana , no gracias . Yo me enseñé a conducir en un Cavalier 2001 de mi amigo , un auto divertido y bonito .",0
209,". De manera acertada el equipamiento mejoró , principalmente el motor , que era la queja frecuente , sin embargo y de entrada ,",0
210,", Saludos ! ! ! . Es una verdadera tontería este carro ni para comprarlo con un precio tan elevado y sin nada de tecnología ni seguridad no vale la pena ,",0
211,"... deja mucho que desear con sus carros ya . Un auto demasiado caro , y mas en su versión `` rs ''",0
